GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
5001600US0101,"Congressional District 1 (116th Congress), Alabama",267433,1743,8.8,0.4,5.6,0.3,11.4,0.5,10.8,0.4,13.6,0.5,17.9,0.5,11.5,0.5,12.1,0.4,4.5,0.3,3.9,0.3,49773,762,68427,888,37.2,(X),(X),(X),(X),(X),173365,2240,5.1,0.4,2.9,0.3,8.1,0.5,9.1,0.5,13.3,0.6,19.9,0.6,14.1,0.6,15.9,0.6,6.2,0.4,5.3,0.3,63358,952,82470,1129,(X),(X),37.9,(X),(X),(X),124206,1981,1.7,0.3,1.2,0.2,4.4,0.4,7.2,0.5,11.9,0.7,21.2,0.7,17.1,0.7,20.3,0.8,8,0.5,7,0.5,78511,1084,98058,1406,(X),(X),(X),(X),(X),(X),94068,2173,16.4,0.9,10.8,0.8,18.2,0.9,13.8,0.8,14,0.8,13.8,0.9,6.2,0.6,4.4,0.5,1.1,0.3,1.2,0.2,27582,865,40692,1265,(X),(X),(X),(X),35,(X)
5001600US0102,"Congressional District 2 (116th Congress), Alabama",258520,1629,8.7,0.4,5.9,0.3,11.9,0.4,10.6,0.4,14,0.5,17.7,0.5,11.9,0.5,12.2,0.4,3.9,0.2,3.2,0.2,48611,702,66166,830,37.8,(X),(X),(X),(X),(X),169595,1695,5.6,0.4,3.2,0.3,8.8,0.5,9.5,0.5,13.7,0.6,19.2,0.6,14.3,0.6,16.2,0.5,5.3,0.3,4.4,0.3,61112,1075,78457,1182,(X),(X),38.3,(X),(X),(X),118392,1803,1.6,0.2,1.4,0.2,4.8,0.4,7.2,0.5,12.5,0.6,20.6,0.7,17.4,0.7,21.4,0.7,7.2,0.4,5.9,0.4,77182,1057,93769,1322,(X),(X),(X),(X),(X),(X),88925,1553,15.8,0.9,11.4,0.7,19.3,0.9,12.7,0.8,14,0.7,14.2,0.8,6.6,0.5,4,0.4,1.2,0.2,0.9,0.2,27292,736,40433,1095,(X),(X),(X),(X),35.3,(X)
5001600US0103,"Congressional District 3 (116th Congress), Alabama",272967,1804,9.2,0.4,6,0.4,12.2,0.4,10.5,0.5,12.6,0.5,18.3,0.5,11.7,0.6,11.9,0.4,4.2,0.3,3.1,0.2,49110,877,65642,872,38.1,(X),(X),(X),(X),(X),181099,1850,5.1,0.3,3.1,0.4,8.8,0.5,9.7,0.6,12.2,0.5,20.5,0.7,14.7,0.7,15.9,0.6,5.8,0.4,4.3,0.3,62819,816,79084,1154,(X),(X),38.1,(X),(X),(X),131494,1952,1.6,0.2,1.6,0.2,4.8,0.4,7.8,0.6,11.6,0.7,22.1,0.8,17.4,0.9,19.9,0.7,7.6,0.5,5.6,0.4,75769,1205,92621,1514,(X),(X),(X),(X),(X),(X),91868,1865,18.6,1,12.4,0.8,19.8,1,12.4,0.8,13.1,0.9,13.3,0.9,5.3,0.6,3.7,0.5,0.7,0.2,0.8,0.2,24485,927,36918,1352,(X),(X),(X),(X),36.4,(X)
5001600US0104,"Congressional District 4 (116th Congress), Alabama",259624,1814,7.9,0.4,6.6,0.3,13.5,0.4,11.4,0.4,14.9,0.5,17.5,0.4,11.5,0.4,10.9,0.4,3.3,0.2,2.7,0.2,45111,723,61910,935,38,(X),(X),(X),(X),(X),178869,1713,4.9,0.3,3.3,0.3,9.3,0.4,10.8,0.5,15,0.6,19.9,0.6,14.7,0.6,14.2,0.6,4.4,0.3,3.5,0.3,57127,919,73086,1273,(X),(X),38.2,(X),(X),(X),136656,1726,1.9,0.3,2,0.3,6.9,0.4,9.1,0.5,14.8,0.7,21.5,0.7,17,0.7,17.1,0.7,5.5,0.4,4.3,0.4,66850,1126,82856,1466,(X),(X),(X),(X),(X),(X),80755,1520,15.8,0.9,14.3,0.8,23.2,0.9,13,0.8,14.2,0.8,11,0.9,4.1,0.4,2.8,0.4,0.6,0.2,0.8,0.2,23274,575,34977,1010,(X),(X),(X),(X),36.4,(X)
5001600US0105,"Congressional District 5 (116th Congress), Alabama",285320,1636,6.2,0.4,5.3,0.3,10.2,0.4,10,0.5,12.4,0.4,16.9,0.5,12.5,0.4,14.6,0.5,6.4,0.3,5.5,0.3,57758,778,78382,897,32.5,(X),(X),(X),(X),(X),188520,1898,3.8,0.4,2.6,0.3,7,0.4,8.2,0.5,11,0.5,18,0.7,14.6,0.6,18.6,0.6,8.6,0.4,7.5,0.4,74048,1052,93853,1264,(X),(X),32.5,(X),(X),(X),143617,1620,1.5,0.2,1.3,0.2,4,0.3,6.1,0.4,9.6,0.6,18.5,0.7,16.5,0.6,22.3,0.8,10.7,0.5,9.6,0.5,88380,1239,108393,1405,(X),(X),(X),(X),(X),(X),96800,1861,12,0.8,10.6,0.8,17.3,1,13.4,0.8,15.1,0.8,14.3,0.8,7.9,0.6,6.4,0.6,1.7,0.3,1.4,0.2,32253,810,46329,1156,(X),(X),(X),(X),31.5,(X)
5001600US0106,"Congressional District 6 (116th Congress), Alabama",267178,1816,5,0.3,3.8,0.3,7.6,0.4,8.5,0.4,11.8,0.5,17.5,0.6,13.7,0.5,16.8,0.5,7.2,0.3,8,0.3,67967,1023,93475,1199,35.1,(X),(X),(X),(X),(X),185137,1882,2.5,0.3,2,0.3,4.8,0.4,6.6,0.4,10.5,0.5,17.5,0.7,15.4,0.6,20.6,0.6,9.5,0.4,10.7,0.4,84726,1301,110410,1739,(X),(X),35.4,(X),(X),(X),146816,1817,1,0.2,1,0.2,3,0.3,5,0.4,8.8,0.5,16.8,0.7,16.5,0.6,23.7,0.7,11.4,0.5,13,0.6,96811,1251,124538,2074,(X),(X),(X),(X),(X),(X),82041,1746,11.1,0.9,8.1,0.7,14.8,1,13.2,0.9,15.1,0.9,17.5,1,9.1,0.7,7.5,0.7,1.8,0.3,1.9,0.3,37728,1062,52972,1637,(X),(X),(X),(X),33,(X)
5001600US0107,"Congressional District 7 (116th Congress), Alabama",256851,2077,13.5,0.5,8.3,0.4,13.9,0.4,11.4,0.4,13.6,0.6,16.4,0.5,9.2,0.4,9,0.3,2.8,0.2,1.9,0.2,37960,613,53428,839,42.8,(X),(X),(X),(X),(X),150923,2003,8.4,0.5,4.8,0.5,11,0.7,11,0.6,14.1,0.7,19,0.7,12.1,0.6,13,0.5,3.9,0.4,2.6,0.3,50786,922,65267,1265,(X),(X),46.3,(X),(X),(X),82340,1507,2.3,0.4,1.5,0.3,5.5,0.5,7.5,0.6,12.6,0.7,22.2,1,17.6,0.9,19.9,0.7,6.5,0.6,4.5,0.6,72734,1623,86965,1849,(X),(X),(X),(X),(X),(X),105928,1919,21.5,0.9,13.8,0.7,18.5,0.7,12.4,0.7,12.7,1,12.2,0.7,4.5,0.4,2.6,0.4,0.9,0.3,0.9,0.2,22742,727,34877,949,(X),(X),(X),(X),36.9,(X)
5001600US0200,"Congressional District (at Large) (116th Congress), Alaska",253346,1463,4.1,0.3,2.9,0.2,6.5,0.3,6.9,0.3,10.4,0.4,17.6,0.5,14,0.4,19.4,0.5,9.6,0.4,8.6,0.3,77640,1015,98606,1172,32.4,(X),(X),(X),(X),(X),166325,1951,2.8,0.2,1.6,0.2,4.2,0.3,5.4,0.3,8.8,0.5,16.9,0.7,14.3,0.5,23,0.7,12.1,0.5,10.8,0.4,92588,1421,111717,1295,(X),(X),33.6,(X),(X),(X),124603,1750,0.8,0.1,0.7,0.1,2.3,0.2,3.7,0.3,7.2,0.5,15.6,0.7,14.9,0.6,26.6,0.8,14.7,0.6,13.5,0.5,107269,1143,126673,1593,(X),(X),(X),(X),(X),(X),87021,1544,7.9,0.6,5.8,0.6,11.6,0.7,10.4,0.6,13.8,0.8,19.1,0.8,12.8,0.8,11.5,0.8,3.8,0.6,3.3,0.4,50535,1113,67359,2297,(X),(X),(X),(X),27.5,(X)
5001600US0401,"Congressional District 1 (116th Congress), Arizona",255877,1751,9.2,0.3,4.7,0.3,9.4,0.4,9.6,0.4,13.4,0.4,18.4,0.4,12.9,0.5,13.4,0.4,5.2,0.3,3.8,0.3,54503,632,70914,927,38.9,(X),(X),(X),(X),(X),175186,1630,6.1,0.3,2.9,0.3,7.4,0.4,8.3,0.4,13.1,0.5,19.7,0.7,15,0.7,16.5,0.6,6.4,0.3,4.7,0.3,64439,795,80938,1188,(X),(X),40,(X),(X),(X),126805,1627,2.7,0.2,1.5,0.2,5.1,0.4,6.7,0.4,11.4,0.6,20.7,0.7,17.2,0.8,20.5,0.7,8.2,0.4,6,0.4,77280,1057,93316,1403,(X),(X),(X),(X),(X),(X),80691,1761,17.8,1,8.8,0.6,14.6,0.7,13,0.8,14.4,0.8,15.3,0.9,7.3,0.6,5.2,0.5,2,0.4,1.5,0.3,31273,854,45013,1604,(X),(X),(X),(X),34.3,(X)
