key_id,state_id,id,Geographic Area Name,HouseholdsTotal,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),FamiliesTotal,FamiliesMedian income (dollars),FamiliesMean income (dollars),Married-couple familiesTotal,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars)
1,1,0500000US01003,"Baldwin County, Alabama",82325,56439,81449,53962,76892,97364,0,88020,0,28363,37494,48871
2,1,0500000US01015,"Calhoun County, Alabama",44636,48156,61137,28975,61918,75168,0,72489,0,15661,26143,32609
3,1,0500000US01043,"Cullman County, Alabama",32090,50906,61920,23212,60886,72582,0,69430,0,8878,22464,28508
4,1,0500000US01049,"DeKalb County, Alabama",24880,44208,56777,16366,54871,66524,0,61984,0,8514,21213,36416
5,1,0500000US01051,"Elmore County, Alabama",30712,61854,82576,21146,76574,96212,0,92304,0,9566,34964,50153
6,1,0500000US01055,"Etowah County, Alabama",40053,41447,59944,25177,53690,71632,0,65053,0,14876,23712,39099
7,1,0500000US01069,"Houston County, Alabama",39761,50103,69495,25893,62034,84280,17794,81335,103863,13868,30245,39072
8,1,0500000US01073,"Jefferson County, Alabama",264753,53944,79833,164678,70617,96989,110529,93295,120888,100075,31870,48905
9,1,0500000US01077,"Lauderdale County, Alabama",38761,46632,62091,23883,65564,77519,0,75745,0,14878,26571,35213
10,1,0500000US01081,"Lee County, Alabama",64448,53712,78000,37809,80982,103361,0,86309,0,26639,22163,40965
11,1,0500000US01083,"Limestone County, Alabama",32020,63695,83580,23919,76124,95741,0,87723,0,8101,31572,43833
12,1,0500000US01089,"Madison County, Alabama",155878,67930,88904,102575,84935,105800,75706,108409,0,53303,39603,52717
13,1,0500000US01095,"Marshall County, Alabama",35330,49467,63823,25078,58967,75280,0,61919,0,10252,23902,34100
14,1,0500000US01097,"Mobile County, Alabama",155946,49639,64556,97398,61182,77069,66582,73923,0,58548,29216,41744
15,1,0500000US01101,"Montgomery County, Alabama",88864,53117,72113,53155,67719,89075,32179,89846,114838,35709,38068,45331
16,1,0500000US01103,"Morgan County, Alabama",46470,54338,73817,31752,62540,81251,0,75680,0,14718,31104,53178
17,1,0500000US01115,"St. Clair County, Alabama",32829,67487,78406,25409,77256,86685,0,86788,0,7420,36071,48481
18,1,0500000US01117,"Shelby County, Alabama",84048,75614,101601,57918,98094,122326,48374,104662,0,26130,39682,54723
19,1,0500000US01121,"Talladega County, Alabama",30602,50147,62758,20515,65280,73808,0,83105,0,10087,22057,36727
20,1,0500000US01125,"Tuscaloosa County, Alabama",74259,52243,73432,47711,70367,89749,34454,94179,0,26548,30796,41990
21,1,0500000US01127,"Walker County, Alabama",25153,46283,60865,17410,59855,71227,0,65849,0,7743,23677,34700
22,2,0500000US02020,"Anchorage Municipality, Alaska",105198,82716,109042,64798,104660,131599,49631,119351,0,40400,54962,68771
23,2,0500000US02090,"Fairbanks North Star Borough, Alaska",35556,72065,103334,23996,87974,121808,0,106359,0,11560,41417,58575
24,2,0500000US02170,"Matanuska-Susitna Borough, Alaska",32736,74709,92126,23763,85283,102861,18955,99018,0,8973,41628,55425
25,3,0500000US04001,"Apache County, Arizona",20925,30480,43748,12251,41162,51141,7201,50824,0,8674,18720,31603
26,3,0500000US04003,"Cochise County, Arizona",51982,48484,67592,32464,57991,76919,0,68699,0,19518,37769,50361
27,3,0500000US04005,"Coconino County, Arizona",48993,58085,81219,29293,76601,101106,21964,88814,0,19700,34758,48204
28,3,0500000US04013,"Maricopa County, Arizona",1611722,68649,92992,1056695,80792,106887,773405,96721,123304,555027,45056,61292
29,3,0500000US04015,"Mohave County, Arizona",91095,50179,63437,61122,56751,72041,45830,62607,80099,29973,30917,40594
30,3,0500000US04017,"Navajo County, Arizona",38732,38897,53425,28532,45764,61031,18468,67441,0,10200,23328,28663
31,3,0500000US04019,"Pima County, Arizona",410404,56169,76892,247333,72920,93564,174705,87379,110957,163071,35875,49138
32,3,0500000US04021,"Pinal County, Arizona",153413,62057,78763,110212,70976,83303,87140,79891,0,43201,39644,60887
33,3,0500000US04025,"Yavapai County, Arizona",102784,53816,71282,62990,68513,86140,51040,73203,0,39794,34253,44501
34,3,0500000US04027,"Yuma County, Arizona",74042,46419,59182,53639,51480,62744,36214,59489,0,20403,28556,44130
35,4,0500000US05007,"Benton County, Arkansas",100749,69130,96757,72399,81726,111172,58748,93551,0,28350,42644,56346
36,4,0500000US05031,"Craighead County, Arkansas",41409,45610,68763,27829,63994,80053,0,81566,0,13580,27447,44151
37,4,0500000US05045,"Faulkner County, Arkansas",47389,57642,74775,31590,70514,88425,0,79936,0,15799,30129,43136
38,4,0500000US05051,"Garland County, Arkansas",41743,45265,61782,26006,54414,73033,0,62777,0,15737,25731,39351
39,4,0500000US05069,"Jefferson County, Arkansas",27593,39326,53518,16356,51052,63851,0,70010,0,11237,28234,35059
40,4,0500000US05085,"Lonoke County, Arkansas",26052,62532,75963,18824,75967,85992,0,86489,0,7228,35207,48638
41,4,0500000US05119,"Pulaski County, Arkansas",158000,52043,77462,93080,67765,96424,61990,90111,118556,64920,35091,47036
42,4,0500000US05125,"Saline County, Arkansas",45455,66327,77398,31395,78096,87778,0,91131,0,14060,37004,46972
43,4,0500000US05131,"Sebastian County, Arkansas",51384,48839,65576,32517,56569,77716,0,70808,0,18867,28279,42152
44,4,0500000US05143,"Washington County, Arkansas",89249,50798,72353,56596,67310,90814,41875,77219,0,32653,27626,37767
45,4,0500000US05145,"White County, Arkansas",28621,43399,61441,18028,54744,73938,0,65440,0,10593,27298,37365
46,5,0500000US06001,"Alameda County, California",585632,108322,141427,381906,130556,164374,295523,150772,184728,203726,63478,91154
47,5,0500000US06007,"Butte County, California",77651,62563,91685,48238,76497,112179,35725,88380,0,29413,32364,51299
48,5,0500000US06013,"Contra Costa County, California",399792,107135,146387,283816,125976,165292,219892,145663,188737,115976,64200,91140
49,5,0500000US06017,"El Dorado County, California",74216,87059,118681,50614,107034,139869,0,115023,0,23602,40854,67372
50,5,0500000US06019,"Fresno County, California",315974,57518,76573,226172,65568,84683,146683,81556,102984,89802,32413,49300
51,5,0500000US06023,"Humboldt County, California",55692,51662,76880,29816,71718,100222,21565,91569,0,25876,30088,47460
52,5,0500000US06025,"Imperial County, California",48182,48472,64050,36308,57467,71174,23466,72181,0,11874,22472,36476
53,5,0500000US06029,"Kern County, California",272888,53067,75669,199179,61124,83430,136005,75247,98297,73709,30789,48783
54,5,0500000US06031,"Kings County, California",44761,58453,72471,33989,61133,75534,0,73869,0,10772,38236,58169
55,5,0500000US06033,"Lake County, California",25968,47138,67959,14708,62253,84808,0,74655,0,11260,35666,43711
56,5,0500000US06037,"Los Angeles County, California",3328398,72797,104063,2204715,81912,116114,1488600,100324,137378,1123683,50256,73685
57,5,0500000US06039,"Madera County, California",44387,64827,83590,36621,67877,87591,0,81381,0,7766,34517,48762
58,5,0500000US06041,"Marin County, California",105298,110843,180587,64572,151376,223426,52458,172267,0,40726,63242,105340
59,5,0500000US06045,"Mendocino County, California",34478,51744,71732,18776,64485,87159,0,83016,0,15702,31797,50790
60,5,0500000US06047,"Merced County, California",80645,61167,79523,63662,65725,84684,40294,75249,102029,16983,34959,48389
