id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
1,14,9500000US1700009,"Pinckneyville School District 50, Illinois",2585,51797,71743,1782,67786,88222,1318,75714,N,803,22623,32459
2,14,9500000US1700010,"Beach Park Community Consolidated School District 3, Illinois",7343,72039,82063,5332,73463,90514,4142,84005,N,2011,44436,54974
3,14,9500000US1700065,"Saunemin Community Consolidated School District 438, Illinois",410,62083,85143,334,65714,92956,269,70724,N,76,32500,43575
4,14,9500000US1700077,"Marengo-Union Elementary Consolidated District 165, Illinois",3946,80584,92491,2967,97297,107159,2368,110833,N,979,38968,45142
5,14,9500000US1700103,"New Holland-Middletown Elementary School District 88, Illinois",428,73269,91180,304,78750,105587,243,97188,N,124,38750,49621
6,14,9500000US1700112,"Streator Elementary School District 44, Illinois",7035,45521,58089,4098,62783,71677,3015,68087,N,2937,27268,36136
7,14,9500000US1700119,"North Shore School District 112, Illinois",13472,133526,215004,10023,166195,253147,8882,184299,N,3449,51713,99238
8,14,9500000US1700222,"Nippersink School District 2, Illinois",4094,92984,114730,3202,105603,127893,2828,122500,N,892,44200,60258
9,14,9500000US1700330,"Prairieview-Ogden Community Consolidated School District 197, Illinois",974,83667,95006,705,102750,111558,609,108125,N,269,40852,48897
10,14,9500000US1701381,"La Harpe Community School District 347, Illinois",890,51813,58297,579,63750,71354,527,70125,N,311,23792,33036
11,14,9500000US1701385,"Carthage Elementary School District 317, Illinois",1801,55179,72316,1113,76147,91830,979,78542,N,688,30833,39995
12,14,9500000US1701388,"Dallas Elementary School District 327, Illinois",826,39688,50404,544,52031,58142,401,56250,N,282,26081,33047
