id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
1,1,1600000US0100100,"Abanda CDP, Alabama",53,24261,29013,27,41354,40533,27,41354,0,26,0,0
2,1,1600000US0100124,"Abbeville city, Alabama",1029,36875,56507,604,51477,63630,342,76983,0,425,20352,43853
3,1,1600000US0100460,"Adamsville city, Alabama",1471,46322,57281,1032,54310,64435,665,76250,0,439,24395,32325
4,1,1600000US0100484,"Addison town, Alabama",319,35625,48881,213,55250,57426,165,61250,0,106,20500,30622
5,1,1600000US0100676,"Akron town, Alabama",116,25192,35528,64,44375,51817,44,46071,0,52,13438,15081
6,1,1600000US0100820,"Alabaster city, Alabama",11568,80072,88408,8667,89803,98277,7258,97217,0,2901,45012,54588
7,1,1600000US0100988,"Albertville city, Alabama",7249,45867,58410,5099,53532,67978,3902,60167,0,2150,23202,33092
8,1,1600000US0101132,"Alexander City city, Alabama",5710,38328,56550,3872,60955,71163,2457,71863,0,1838,18859,24779
9,1,1600000US0101180,"Alexandria CDP, Alabama",1560,72229,77065,1218,83140,85511,1017,86050,0,342,27500,38499
10,1,1600000US0101228,"Aliceville city, Alabama",898,22692,34827,625,25430,38940,259,57964,0,273,12625,25308
11,1,1600000US0101396,"Allgood town, Alabama",208,41667,47414,152,46667,49957,95,49375,0,56,28000,34289
12,1,1600000US0101660,"Altoona town, Alabama",320,32000,45549,200,49688,59559,133,65139,0,120,18158,20878
13,1,1600000US0101708,"Andalusia city, Alabama",3490,37708,57602,2147,52250,72149,1337,74821,0,1343,21203,31906
14,1,1600000US0101756,"Anderson town, Alabama",104,48750,56865,69,66250,77212,57,67083,0,35,13068,16754
15,1,1600000US0101852,"Anniston city, Alabama",9277,36051,62096,5455,46191,81320,3001,82354,0,3822,20961,31824
16,1,1600000US0102116,"Arab city, Alabama",3177,46517,63255,2094,64118,78366,1523,78785,90892,1083,22577,32421
17,1,1600000US0102260,"Ardmore town, Alabama",520,37069,44777,321,45417,52702,211,51442,0,199,30650,30948
18,1,1600000US0102320,"Argo town, Alabama",1348,72643,90157,1146,84773,99995,1015,89050,0,202,37761,32426
19,1,1600000US0102428,"Ariton town, Alabama",272,33000,50023,182,42045,58169,94,88750,0,90,18750,31929
20,1,1600000US0102500,"Arley town, Alabama",183,41563,48399,130,51250,57708,103,55139,0,53,23438,25475
21,1,1600000US0102836,"Ashford town, Alabama",865,44489,63377,635,55586,75070,452,84231,0,230,20313,28360
22,1,1600000US0102860,"Ashland town, Alabama",677,19154,29809,333,28705,40077,191,40179,0,344,15305,19725
23,1,1600000US0102908,"Ashville city, Alabama",778,50093,55065,584,55938,61101,413,68029,0,194,31290,32770
24,1,1600000US0102956,"Athens city, Alabama",9397,53165,75441,6080,74718,95491,4697,91181,0,3317,22390,37504
25,1,1600000US0103004,"Atmore city, Alabama",2803,26118,38383,1443,32865,47147,907,44489,0,1360,20128,28846
26,1,1600000US0103028,"Attalla city, Alabama",2151,39247,55793,1364,46310,57603,751,70363,0,787,31393,51568
27,1,1600000US0103076,"Auburn city, Alabama",23500,47318,74591,12380,88094,110185,9364,108096,0,11120,20274,33825
28,1,1600000US0103220,"Autaugaville town, Alabama",444,32159,48553,299,35129,57604,177,37917,0,145,15096,28564
29,1,1600000US0103364,"Avon town, Alabama",200,56667,86742,161,69583,100165,120,78750,0,39,21250,27287
30,1,1600000US0103508,"Axis CDP, Alabama",325,57734,65169,260,69868,71938,246,73438,0,65,31354,30909
31,1,1600000US0103556,"Babbie town, Alabama",227,31806,42400,157,37768,46627,125,39732,0,70,19375,29894
32,1,1600000US0103676,"Baileyton town, Alabama",325,37118,50759,226,57167,58964,195,60625,0,99,24792,30249
33,1,1600000US0103724,"Bakerhill town, Alabama",98,47500,50633,71,53125,58938,50,60000,0,27,18125,28793
34,1,1600000US0103820,"Ballplay CDP, Alabama",480,70938,74247,413,73233,70762,314,73276,0,67,30694,59376
35,1,1600000US0103940,"Banks town, Alabama",76,50000,46546,50,56667,57604,34,73438,0,26,0,23796
36,1,1600000US0104660,"Bay Minette city, Alabama",2812,38971,59167,1690,59694,72362,1115,68348,0,1122,23558,37598
37,1,1600000US0104684,"Bayou La Batre city, Alabama",837,44554,57428,638,44286,55492,355,67768,0,199,43274,60420
38,1,1600000US0104852,"Bear Creek town, Alabama",424,33462,41795,340,34797,44567,271,46131,0,84,18750,27304
39,1,1600000US0104900,"Beatrice town, Alabama",97,28750,32871,53,37292,45862,25,48542,0,44,13750,17184
40,1,1600000US0104948,"Beaverton town, Alabama",93,40694,41932,48,53000,52135,41,54750,0,45,28125,31049
41,1,1600000US0105140,"Belgreen CDP, Alabama",29,31696,36000,4,0,0,4,0,0,25,31339,28376
42,1,1600000US0105164,"Belk town, Alabama",94,39583,52400,77,45469,58630,56,39583,0,17,22083,24182
43,1,1600000US0105188,"Bellamy CDP, Alabama",208,0,30008,144,32232,36229,41,0,0,64,16096,16009
44,1,1600000US0105212,"Belle Fontaine CDP, Alabama",213,53807,61193,121,66597,83779,95,115469,0,92,26121,31489
45,1,1600000US0105692,"Benton town, Alabama",13,101458,104685,13,101458,104685,13,101458,0,0,0,0
46,1,1600000US0105812,"Berlin town, Alabama",140,31951,42138,95,52906,53419,95,52906,0,45,17212,18322
47,1,1600000US0105932,"Berry town, Alabama",489,45375,51025,340,61346,62496,260,67000,0,149,15972,22513
48,1,1600000US0105980,"Bessemer city, Alabama",10492,32301,45855,6378,42403,55899,2800,62978,0,4114,20918,28433
49,1,1600000US0106460,"Billingsley town, Alabama",49,29375,78200,26,40000,122627,11,53750,0,23,22361,27978
50,1,1600000US0107000,"Birmingham city, Alabama",90867,37375,54559,46753,48016,66590,22611,75852,95010,44114,25704,40272
51,1,1600000US0107120,"Black town, Alabama",91,48750,60107,75,53750,66772,65,58750,0,16,20000,23794
52,1,1600000US0107456,"Blountsville town, Alabama",702,36923,48168,486,50375,60684,348,51083,0,216,14722,18712
53,1,1600000US0107588,"Blue Ridge CDP, Alabama",589,92250,109583,435,107153,128778,360,111833,0,154,46563,55362
54,1,1600000US0107672,"Blue Springs town, Alabama",32,38750,50113,27,48125,52326,18,45000,0,5,31250,33040
55,1,1600000US0107912,"Boaz city, Alabama",3494,40551,53243,2197,54668,67001,1540,63607,0,1297,18151,28118
56,1,1600000US0108104,"Boligee town, Alabama",177,7875,15744,79,0,20528,13,75417,0,98,7500,11811
57,1,1600000US0108248,"Bon Air town, Alabama",42,25833,29510,15,40250,42633,12,41000,0,27,16750,22222
58,1,1600000US0108272,"Bon Secour CDP, Alabama",570,27674,48498,227,95445,86513,174,96568,0,343,19640,23339
59,1,1600000US0108680,"Boykin CDP, Alabama",120,12292,19220,70,15926,15807,13,0,0,50,2500,19772
60,1,1600000US0109016,"Brantley town, Alabama",361,20707,50377,206,40417,73090,105,72019,0,155,12448,19621
61,1,1600000US0109064,"Brantleyville CDP, Alabama",333,42868,52637,222,56667,60527,120,65197,0,111,0,27715
62,1,1600000US0109136,"Brent city, Alabama",1055,34283,45296,762,36250,44051,407,57361,0,293,0,47703
63,1,1600000US0109208,"Brewton city, Alabama",2050,42898,61372,1249,55036,79565,852,78438,0,801,21354,30797
64,1,1600000US0109328,"Bridgeport city, Alabama",1031,28568,40345,586,42727,51612,354,50250,0,445,15131,20818
65,1,1600000US0109400,"Brighton city, Alabama",1180,27250,35405,519,34653,49438,187,56319,0,661,15927,21634
66,1,1600000US0109424,"Brilliant town, Alabama",386,24643,36645,235,46103,50298,170,51136,0,151,12813,15197
67,1,1600000US0109457,"Bristow Cove CDP, Alabama",221,39083,39858,175,45096,42810,103,70399,0,46,29063,28628
68,1,1600000US0109500,"Brook Highland CDP, Alabama",3522,57184,89618,1745,108371,130362,1432,114643,0,1777,38896,49067
69,1,1600000US0109736,"Brookside town, Alabama",475,38482,45934,329,49083,52618,213,65688,0,146,19318,30872
70,1,1600000US0109808,"Brookwood town, Alabama",757,64226,71285,583,69375,77611,447,80547,0,174,38750,43168
