key_id,region_id,id,Geographic Area Name,HouseholdsTotal,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),FamiliesTotal,FamiliesMedian income (dollars),FamiliesMean income (dollars),Married-couple familiesTotal,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars)
1,3,0400000US01,Alabama,1897576,51734,71478,1237883,66171,85630,892050,81393,101086,659693,29458,42510
2,4,0400000US02,Alaska,252199,75463,98504,163134,91971,115639,124608,106046,130245,89065,47508,61602
3,4,0400000US04,Arizona,2670441,62055,84438,1740704,74468,97314,1272331,87708,112220,929737,40198,55773
4,3,0400000US05,Arkansas,1163647,48952,68219,755305,62387,81640,553179,73796,94373,408342,27607,40235
5,4,0400000US06,California,13157873,80440,113563,8972643,91377,126354,6490186,109161,146865,4185230,51676,78815
6,4,0400000US08,Colorado,2235103,77127,103518,1421844,95164,121598,1116767,107594,135408,813259,50092,67652
7,1,0400000US09,Connecticut,1377166,78833,114630,885911,101272,140129,649536,122781,165689,491255,45001,64185
8,3,0400000US10,Delaware,376239,70176,92445,242584,87148,109065,177794,100609,124535,133655,44071,58190
9,0,0400000US11,District of Columbia,291570,92266,135369,124978,130291,175610,78331,184848,235522,166592,76529,101740
10,3,0400000US12,Florida,7905832,59227,83883,5083272,71348,97822,3670205,84758,113705,2822560,37292,54820
11,3,0400000US13,Georgia,3852714,61980,86468,2555440,74833,101205,1802484,92661,120447,1297274,37881,53872
12,4,0400000US15,Hawaii,465299,83102,106247,316206,96462,118900,232024,108186,131835,149093,51343,70211
13,4,0400000US16,Idaho,655859,60999,78975,448979,72365,92041,357453,81048,100489,206880,35157,47069
14,2,0400000US17,Illinois,4866006,69187,95725,3059067,87771,115529,2251401,104679,134816,1806939,40860,58746
15,2,0400000US18,Indiana,2597765,57603,78064,1639230,73876,94579,1221373,87400,108776,958535,33994,46287
16,2,0400000US19,Iowa,1287221,61691,80267,808802,78152,97137,628853,90182,110210,478419,36559,48007
17,2,0400000US20,Kansas,1138329,62087,82270,733489,79006,99431,571620,90162,112522,404840,36347,48152
18,3,0400000US21,Kentucky,1748732,52295,72215,1129276,66183,85541,830268,78727,99732,619456,30384,44650
19,3,0400000US22,Louisiana,1741076,51073,72658,1113831,65105,86582,737222,86579,107900,627245,28907,45018
20,1,0400000US23,Maine,573618,58924,78303,342894,76316,95631,268258,86872,107353,230724,35624,49232
21,3,0400000US24,Maryland,2226767,86738,114089,1462070,105679,134975,1051319,126286,157374,764697,51990,68930
22,1,0400000US25,Massachusetts,2650680,85843,117482,1665005,108348,141098,1238203,129856,163455,985675,50338,72501
23,2,0400000US26,Michigan,3969880,59584,80681,2496550,75703,97243,1825191,90008,112967,1473330,35755,49460
24,2,0400000US27,Minnesota,2222568,74593,96995,1401623,93584,117331,1100581,106476,131838,820945,44136,58072
25,3,0400000US28,Mississippi,1100229,45792,65081,718382,58503,77752,481478,74648,94293,381847,25562,39081
26,2,0400000US29,Missouri,2458337,57409,77885,1546045,73457,94190,1160554,86429,108242,912292,33821,47145
